sentence#,token,pos,tag
5,(,PUNCT,O
5,APC,PROPN,O
5,),PUNCT,O
5,",",PUNCT,O
5,a,DET,O
5,protein,NOUN,O
5,required,VERB,O
5,for,ADP,O
5,ubiquitin,ADJ,O
5,-,PUNCT,O
5,mediated,VERB,O
5,degradation,NOUN,O
5,of,ADP,O
5,beta,NOUN,O
5,-,PUNCT,O
5,catenin,NOUN,O
5,",",PUNCT,O
5,but,CCONJ,O
5,a,DET,O
5,small,ADJ,O
5,percentage,NOUN,O
5,of,ADP,O
5,colon,NOUN,O
5,and,CCONJ,O
5,some,DET,O
5,other,ADJ,O
5,cancers,NOUN,O
5,harbour,VERB,O
5,beta,NOUN,O
5,-,PUNCT,O
5,catenin,NOUN,O
5,-,PUNCT,O
5,stabilizing,VERB,O
5,mutations,NOUN,O
5,.,PUNCT,O
6,Recently,ADV,O
6,",",PUNCT,O
6,we,PRON,O
6,discovered,VERB,O
6,that,SCONJ,O
6,transgenic,ADJ,O
6,mice,NOUN,O
6,expressing,VERB,O
6,an,DET,O
6,activated,VERB,O
6,beta,NOUN,O
6,-,PUNCT,O
6,catenin,NOUN,O
6,are,AUX,O
6,predisposed,VERB,O
6,to,ADP,O
6,developing,VERB,O
6,skin,NOUN,B-DiseaseClass
6,tumours,NOUN,L-DiseaseClass
6,resembling,VERB,O
6,pilomatricomas,NOUN,O
6,.,PUNCT,O
7,Given,VERB,O
7,that,SCONJ,O
7,the,DET,O
7,skin,NOUN,O
7,of,ADP,O
7,these,DET,O
7,adult,NOUN,O
7,mice,NOUN,O
7,also,ADV,O
7,exhibits,VERB,O
7,signs,NOUN,O
7,of,ADP,O
7,de,X,O
7,novo,PROPN,O
7,hair,NOUN,O
7,-,PUNCT,O
7,follicle,NOUN,O
7,morphogenesis,NOUN,O
7,",",PUNCT,O
7,we,PRON,O
7,wondered,VERB,O
7,whether,SCONJ,O
7,human,ADJ,O
7,pilomatricomas,NOUN,O
7,might,AUX,O
7,originate,VERB,O
7,from,ADP,O
7,hair,NOUN,O
7,matrix,NOUN,O
7,cells,NOUN,O
7,and,CCONJ,O
7,whether,SCONJ,O
7,they,PRON,O
7,might,AUX,O
7,possess,VERB,O
7,beta,NOUN,O
7,-,PUNCT,O
7,catenin,NOUN,O
7,-,PUNCT,O
7,stabilizing,VERB,O
7,mutations,NOUN,O
7,.,PUNCT,O
8,Here,ADV,O
8,",",PUNCT,O
8,we,PRON,O
8,explore,VERB,O
8,the,DET,O
8,cell,NOUN,O
8,origin,NOUN,O
8,and,CCONJ,O
8,aetiology,NOUN,O
8,of,ADP,O
8,this,DET,O
8,common,ADJ,O
8,human,ADJ,O
8,skin,NOUN,B-DiseaseClass
8,tumour,NOUN,L-DiseaseClass
8,.,PUNCT,O
9,We,PRON,O
9,found,VERB,O
9,nuclear,ADJ,O
9,LEF-1,NOUN,O
9,in,ADP,O
9,the,DET,O
9,dividing,NOUN,O
9,tumour,NOUN,O
9,cells,NOUN,O
9,",",PUNCT,O
9,providing,VERB,O
9,biochemical,ADJ,O
9,evidence,NOUN,O
9,that,SCONJ,O
9,pilomatricomas,NOUN,O
9,are,AUX,O
9,derived,VERB,O
9,from,ADP,O
9,hair,NOUN,O
9,matrix,NOUN,O
9,cells,NOUN,O
9,.,PUNCT,O
10,At,ADP,O
10,least,ADJ,O
10,75,NUM,O
10,%,NOUN,O
10,of,ADP,O
10,these,DET,O
10,tumours,NOUN,U-DiseaseClass
10,possess,VERB,O
10,mutations,NOUN,O
10,affecting,VERB,O
10,the,DET,O
10,amino,ADJ,O
10,-,PUNCT,O
10,terminal,ADJ,O
10,segment,NOUN,O
10,",",PUNCT,O
10,normally,ADV,O
10,involved,VERB,O
10,in,ADP,O
10,phosphorylation,NOUN,O
10,-,PUNCT,O
10,dependent,ADJ,O
10,",",PUNCT,O
10,ubiquitin,ADJ,O
10,-,PUNCT,O
10,mediated,VERB,O
10,degradation,NOUN,O
10,of,ADP,O
10,the,DET,O
10,protein,NOUN,O
10,.,PUNCT,O
11,This,DET,O
11,percentage,NOUN,O
11,of,ADP,O
11,CTNNB1,PROPN,O
11,mutations,NOUN,O
11,is,AUX,O
11,greater,ADJ,O
11,than,ADP,O
11,in,ADP,O
11,all,DET,O
11,other,ADJ,O
11,human,ADJ,O
11,tumours,NOUN,U-DiseaseClass
11,examined,VERB,O
11,thus,ADV,O
11,far,ADV,O
11,",",PUNCT,O
11,and,CCONJ,O
11,directly,ADV,O
11,implicates,VERB,O
11,beta,NOUN,O
11,-,PUNCT,O
11,catenin,NOUN,O
11,/,SYM,O
11,LEF,PROPN,O
11,misregulation,NOUN,O
11,as,ADP,O
11,the,DET,O
11,major,ADJ,O
11,cause,NOUN,O
11,of,ADP,O
11,hair,NOUN,O
11,matrix,NOUN,O
11,cell,NOUN,O
11,tumorigenesis,NOUN,O
11,in,ADP,O
11,humans,NOUN,O
11,..,PUNCT,O
12,HFE,PROPN,O
12,mutations,NOUN,O
12,analysis,NOUN,O
12,in,ADP,O
12,711,NUM,O
12,hemochromatosis,NOUN,O
12,probands,NOUN,O
12,:,PUNCT,O
12,evidence,NOUN,O
12,for,ADP,O
12,S65C,PROPN,O
12,implication,NOUN,O
12,in,ADP,O
12,mild,ADJ,O
12,form,NOUN,O
12,of,ADP,O
12,hemochromatosis,NOUN,O
12,.,PUNCT,O
13,Hereditary,PROPN,O
13,hemochromatosis,NOUN,O
13,(,PUNCT,O
13,HH,PROPN,O
13,),PUNCT,O
13,is,AUX,O
13,a,DET,O
13,common,ADJ,O
13,autosomal,ADJ,B-DiseaseClass
13,recessive,ADJ,I-DiseaseClass
13,genetic,ADJ,I-DiseaseClass
13,disorder,NOUN,L-DiseaseClass
13,of,ADP,O
13,iron,NOUN,O
13,metabolism,NOUN,O
13,.,PUNCT,O
14,The,DET,O
14,HFE,PROPN,O
14,candidate,NOUN,O
14,gene,NOUN,O
14,encoding,VERB,O
14,an,DET,O
14,HLA,PROPN,O
14,class,NOUN,O
14,I,NOUN,O
14,-,PUNCT,O
14,like,ADJ,O
14,protein,NOUN,O
14,involved,VERB,O
14,in,ADP,O
14,HH,PROPN,O
14,was,AUX,O
14,identified,VERB,O
14,in,ADP,O
14,1996,NUM,O
14,.,PUNCT,O
15,Two,NUM,O
15,missense,NOUN,O
15,mutations,NOUN,O
15,have,AUX,O
15,been,AUX,O
15,described,VERB,O
15, ,SPACE,O
15,C282Y,PROPN,O
15,",",PUNCT,O
15,accounting,VERB,O
15,for,ADP,O
15,80,NUM,O
15,%,NOUN,O
15,to,PART,O
15,90,NUM,O
15,%,NOUN,O
15,of,ADP,O
15,HH,ADJ,O
15,chromosomes,NOUN,O
15,",",PUNCT,O
15,and,CCONJ,O
15,H63D,PROPN,O
15,",",PUNCT,O
15,which,PRON,O
15,is,AUX,O
15,associated,VERB,O
15,with,ADP,O
15,a,DET,O
15,milder,NOUN,O
15,form,NOUN,O
15,of,ADP,O
15,the,DET,O
15,disease,NOUN,O
15,representing,VERB,O
15,40,NUM,O
15,%,NOUN,O
15,to,PART,O
15,70,NUM,O
15,%,NOUN,O
15,of,ADP,O
15,non,ADJ,O
15,-,ADJ,O
15,C282Y,ADJ,O
15,HH,PROPN,O
15,chromosomes,NOUN,O
15,.,PUNCT,O
16,We,PRON,O
16,report,VERB,O
16,here,ADV,O
16,on,ADP,O
16,the,DET,O
16,analysis,NOUN,O
16,of,ADP,O
16,C282Y,PROPN,O
16,",",PUNCT,O
16,H63D,PROPN,O
16,",",PUNCT,O
16,and,CCONJ,O
16,the,DET,O
16,193A--,NUM,O
16,>,X,O
16,T,NOUN,O
16,substitution,NOUN,O
16,leading,VERB,O
16,to,ADP,O
16,the,DET,O
16,S65C,PROPN,O
16,missense,NOUN,O
16,substitution,NOUN,O
16,in,ADP,O
16,a,DET,O
16,large,ADJ,O
16,series,NOUN,O
16,of,ADP,O
16,probands,NOUN,O
16,and,CCONJ,O
16,controls,NOUN,O
16,.,PUNCT,O
17,The,DET,O
17,results,NOUN,O
17,confirm,VERB,O
17,that,SCONJ,O
17,the,DET,O
17,C282Y,PROPN,O
17,substitution,NOUN,O
17,was,AUX,O
17,the,DET,O
17,main,ADJ,O
17,mutation,NOUN,O
17,involved,VERB,O
17,in,ADP,O
17,hemochromatosis,NOUN,O
17,",",PUNCT,O
17,accounting,VERB,O
17,for,ADP,O
17,85,NUM,O
17,%,NOUN,O
17,of,ADP,O
17,carrier,NOUN,O
17,chromosomes,NOUN,O
17,",",PUNCT,O
17,whereas,SCONJ,O
17,the,DET,O
17,H63D,PROPN,O
17,substitution,NOUN,O
17,represented,VERB,O
17,39,NUM,O
17,%,NOUN,O
17,of,ADP,O
17,the,DET,O
17,HH,PROPN,O
17,chromosomes,NOUN,O
17,that,PRON,O
17,did,AUX,O
17,not,PART,O
17,carry,VERB,O
17,the,DET,O
17,C282Y,PROPN,O
17,mutation,NOUN,O
17,.,PUNCT,O
18,In,ADP,O
18,addition,NOUN,O
18,",",PUNCT,O
18,our,PRON,O
18,screening,NOUN,O
18,showed,VERB,O
18,that,SCONJ,O
18,the,DET,O
18,S65C,PROPN,O
18,substitution,NOUN,O
18,was,AUX,O
18,significantly,ADV,O
18,enriched,VERB,O
18,in,ADP,O
18,probands,NOUN,O
18,with,ADP,O
18,at,ADV,O
18,least,ADV,O
18,one,NUM,O
18,chromosome,NOUN,O
18,without,ADP,O
18,an,DET,O
18,assigned,VERB,O
18,mutation,NOUN,O
18,.,PUNCT,O
19,This,DET,O
19,substitution,NOUN,O
19,accounted,VERB,O
19,for,ADP,O
19,7,NUM,O
19,.,SYM,O
20,8,NUM,O
20,%,NOUN,O
20,of,ADP,O
20,HH,PROPN,O
20,chromosomes,NOUN,O
20,that,PRON,O
20,were,AUX,O
20,neither,CCONJ,O
20,C282Y,NOUN,O
20,nor,CCONJ,O
20,H63D.,VERB,O
20,This,DET,O
20,enrichment,NOUN,O
20,of,ADP,O
20,S65C,PROPN,O
20,among,ADP,O
20,HH,PROPN,O
20,chromosomes,NOUN,O
20,suggests,VERB,O
20,that,SCONJ,O
20,the,DET,O
20,S65C,PROPN,O
20,substitution,NOUN,O
20,is,AUX,O
20,associated,VERB,O
20,with,ADP,O
20,the,DET,O
20,mild,ADJ,O
20,form,NOUN,O
20,of,ADP,O
20,hemochromatosis,NOUN,O
20,.,PUNCT,O
21,Germline,PROPN,O
21,BRCA1,PROPN,O
21,alterations,NOUN,O
21,in,ADP,O
21,a,DET,O
21,population,NOUN,O
21,-,PUNCT,O
21,based,VERB,O
21,series,NOUN,O
21,of,ADP,O
21,ovarian,ADJ,O
21,cancer,NOUN,O
21,cases,NOUN,O
21,.,PUNCT,O
22,The,DET,O
22,objective,NOUN,O
22,of,ADP,O
22,this,DET,O
22,study,NOUN,O
22,was,AUX,O
22,to,PART,O
22,provide,VERB,O
22,more,ADV,O
22,accurate,ADJ,O
22,frequency,ADJ,O
22,estimates,NOUN,O
22,of,ADP,O
22,breast,NOUN,O
22,cancer,NOUN,O
22,susceptibility,NOUN,O
22,gene,NOUN,O
22,1,NUM,O
22,(,PUNCT,O
22,BRCA1,PROPN,O
22,),PUNCT,O
22,germline,VERB,O
22,alterations,NOUN,O
22,in,ADP,O
22,the,DET,O
22,ovarian,ADJ,O
22,cancer,NOUN,O
22,population,NOUN,O
22,.,PUNCT,O
23,To,PART,O
23,achieve,VERB,O
23,this,PRON,O
23,",",PUNCT,O
23,we,PRON,O
23,determined,VERB,O
23,the,DET,O
23,prevalence,NOUN,O
23,of,ADP,O
23,BRCA1,PROPN,O
23,alterations,NOUN,O
23,in,ADP,O
23,a,DET,O
23,population,NOUN,O
23,-,PUNCT,O
23,based,VERB,O
23,series,NOUN,O
23,of,ADP,O
23,consecutive,ADJ,O
23,ovarian,ADJ,O
23,cancer,NOUN,O
23,cases,NOUN,O
23,.,PUNCT,O
24,This,PRON,O
24,is,AUX,O
24,the,DET,O
24,first,ADJ,O
24,population,NOUN,O
24,-,PUNCT,O
24,based,VERB,O
24,ovarian,ADJ,O
24,cancer,NOUN,O
24,study,NOUN,O
24,reporting,VERB,O
24,BRCA1,PROPN,O
24,alterations,NOUN,O
24,derived,VERB,O
24,from,ADP,O
24,a,DET,O
24,comprehensive,ADJ,O
24,screen,NOUN,O
24,of,ADP,O
24,the,DET,O
24,entire,ADJ,O
24,coding,VERB,O
24,region,NOUN,O
24,.,PUNCT,O
25,One,NUM,O
25,hundred,NUM,O
25,and,CCONJ,O
25,seven,NUM,O
25,ovarian,ADJ,O
25,cancer,NOUN,O
25,cases,NOUN,O
25,were,AUX,O
25,analyzed,VERB,O
25,for,ADP,O
25,BRCA1,PROPN,O
25,alterations,NOUN,O
25,using,VERB,O
25,the,DET,O
25,RNase,PROPN,O
25,mismatch,NOUN,O
25,cleavage,NOUN,O
25,assay,NOUN,O
25,followed,VERB,O
25,by,ADP,O
25,direct,ADJ,O
25,sequencing,NOUN,O
25,.,PUNCT,O
26,Two,NUM,O
26,truncating,NOUN,O
26,mutations,NOUN,O
26,",",PUNCT,O
26,962del4,PROPN,O
26,and,CCONJ,O
26,3600del11,NOUN,O
26,",",PUNCT,O
26,were,AUX,O
26,identified,VERB,O
26,.,PUNCT,O
27,Both,DET,O
27,patients,NOUN,O
27,had,VERB,O
27,a,DET,O
27,family,NOUN,O
27,history,NOUN,O
27,of,ADP,O
27,breast,NOUN,O
27,or,CCONJ,O
27,ovarian,ADJ,O
27,cancer,NOUN,O
27,.,PUNCT,O
28,Several,ADJ,O
28,novel,NOUN,O
28,as,ADV,O
28,well,ADV,O
28,as,ADP,O
28,previously,ADV,O
28,reported,VERB,O
28,uncharacterized,ADJ,O
28,variants,NOUN,O
28,were,AUX,O
28,also,ADV,O
28,identified,VERB,O
28,",",PUNCT,O
28,some,PRON,O
28,of,ADP,O
28,which,PRON,O
28,were,AUX,O
28,associated,VERB,O
28,with,ADP,O
28,a,DET,O
28,family,NOUN,O
28,history,NOUN,O
28,of,ADP,O
28,cancer,NOUN,U-DiseaseClass
28,.,PUNCT,O
29,The,DET,O
29,frequency,ADJ,O
29,distribution,NOUN,O
29,of,ADP,O
29,common,ADJ,O
29,polymorphisms,NOUN,O
29,was,AUX,O
29,determined,VERB,O
29,in,ADP,O
29,the,DET,O
29,91,NUM,O
29,Caucasian,ADJ,O
29,cancer,NOUN,O
29,cases,NOUN,O
29,in,ADP,O
29,this,DET,O
29,series,NOUN,O
29,and,CCONJ,O
29,24,NUM,O
29,sister,NOUN,O
29,controls,NOUN,O
29,using,VERB,O
29,allele,NOUN,O
29,-,PUNCT,O
29,specific,ADJ,O
29,amplification,NOUN,O
29,.,PUNCT,O
30,The,DET,O
30,rare,ADJ,O
30,form,NOUN,O
30,of,ADP,O
30,the,DET,O
30,Q356R,PROPN,O
30,polymorphism,NOUN,O
30,was,AUX,O
30,significantly,ADV,O
30,(,PUNCT,O
30,P,NOUN,O
30,=,NUM,O
30,0,NUM,O
30,.,PUNCT,O
30,03,NUM,O
30,),PUNCT,O
30,associated,VERB,O
30,with,ADP,O
30,a,DET,O
30,family,NOUN,O
30,history,NOUN,O
30,of,ADP,O
30,ovarian,ADJ,O
30,cancer,NOUN,O
30,",",PUNCT,O
30,suggesting,VERB,O
30,that,SCONJ,O
30,this,DET,O
30,polymorphism,NOUN,O
30,may,AUX,O
30,influence,VERB,O
30,ovarian,ADJ,O
30,cancer,NOUN,O
30,risk,NOUN,O
30,.,PUNCT,O
31,In,ADP,O
31,summary,NOUN,O
31,",",PUNCT,O
31,our,PRON,O
31,data,NOUN,O
31,suggest,VERB,O
31,a,DET,O
31,role,NOUN,O
31,for,ADP,O
31,some,DET,O
31,uncharacterized,ADJ,O
31,variants,NOUN,O
31,and,CCONJ,O
31,rare,ADJ,O
31,forms,NOUN,O
31,of,ADP,O
31,polymorphisms,NOUN,O
31,in,ADP,O
31,determining,VERB,O
31,ovarian,ADJ,O
31,cancer,NOUN,O
31,risk,NOUN,O
31,",",PUNCT,O
31,and,CCONJ,O
31,highlight,VERB,O
31,the,DET,O
31,necessity,NOUN,O
31,to,PART,O
31,screen,VERB,O
31,for,ADP,O
31,missense,NOUN,O
31,alterations,NOUN,O
31,as,ADV,O
31,well,ADV,O
31,as,ADP,O
31,truncating,VERB,O
31,mutations,NOUN,O
31,in,ADP,O
31,this,DET,O
31,population,NOUN,O
31,.,PUNCT,O
32,Familial,ADJ,O
32,deficiency,NOUN,O
32,of,ADP,O
32,the,DET,O
32,seventh,ADJ,O
32,component,NOUN,O
32,of,ADP,O
32,complement,NOUN,O
32,associated,VERB,O
32,with,ADP,O
32,recurrent,ADJ,O
32,bacteremic,ADJ,B-DiseaseClass
32,infections,NOUN,I-DiseaseClass
32,due,ADP,I-DiseaseClass
32,to,ADP,I-DiseaseClass
32,Neisseria,PROPN,L-DiseaseClass
32,.,PUNCT,O
33,The,DET,O
33,serum,NOUN,O
33,of,ADP,O
33,a,DET,O
33,29,NUM,O
33,-,PUNCT,O
33,year,NOUN,O
33,old,ADJ,O
33,woman,NOUN,O
33,with,ADP,O
33,a,DET,O
33,recent,ADJ,O
33,episode,NOUN,O
33,of,ADP,O
33,disseminated,VERB,O
33,gonococcal,ADJ,O
33,infection,NOUN,O
33,and,CCONJ,O
33,a,DET,O
33,history,NOUN,O
33,of,ADP,O
33,meningococcal,ADJ,O
33,meningitis,PROPN,O
33,and,CCONJ,O
33,arthritis,NOUN,U-DiseaseClass
33,as,SCONJ,O
33,a,DET,O
33,child,NOUN,O
33,was,AUX,O
33,found,VERB,O
33,to,PART,O
33,lack,VERB,O
33,serum,PROPN,O
33,hemolytic,PROPN,O
33,complement,NOUN,O
33,activity,NOUN,O
33,.,PUNCT,O
34,The,DET,O
34,seventh,ADJ,O
34,component,NOUN,O
34,of,ADP,O
34,complement,NOUN,O
34,(,PUNCT,O
34,C7,PROPN,O
34,),PUNCT,O
34,was,AUX,O
34,not,PART,O
34,detected,VERB,O
34,by,ADP,O
34,functional,ADJ,O
34,or,CCONJ,O
34,immunochemical,ADJ,O
34,assays,NOUN,O
34,",",PUNCT,O
34,whereas,SCONJ,O
34,other,ADJ,O
34,components,NOUN,O
34,were,AUX,O
34,normal,ADJ,O
34,by,ADP,O
34,hemolytic,ADJ,O
34,and,CCONJ,O
34,immunochemical,ADJ,O
34,assessment,NOUN,O
34,.,PUNCT,O
35,Her,PRON,O
35,fresh,ADJ,O
35,serum,NOUN,O
35,lacked,VERB,O
35,complement,NOUN,O
35,-,PUNCT,O
35,mediated,VERB,O
35,bactericidal,ADJ,O
35,activity,NOUN,O
35,against,ADP,O
35,Neisseria,PROPN,O
35,gonorrhoeae,PROPN,O
35,",",PUNCT,O
35,but,CCONJ,O
35,the,DET,O
35,addition,NOUN,O
35,of,ADP,O
35,fresh,ADJ,O
35,normal,ADJ,O
35,serum,NOUN,O
35,or,CCONJ,O
35,purified,VERB,O
35,C7,NOUN,O
35,restored,VERB,O
35,bactericidal,ADJ,O
35,activity,NOUN,O
35,as,ADV,O
35,well,ADV,O
35,as,ADP,O
35,hemolytic,ADJ,O
35,activity,NOUN,O
35,.,PUNCT,O
36,The,DET,O
36,absence,NOUN,O
36,of,ADP,O
36,functional,ADJ,O
36,C7,NOUN,O
36,activity,NOUN,O
36,could,AUX,O
36,not,PART,O
36,be,AUX,O
36,accounted,VERB,O
36,for,ADP,O
36,on,ADP,O
36,the,DET,O
36,basis,NOUN,O
36,of,ADP,O
36,an,DET,O
36,inhibitor,NOUN,O
36,.,PUNCT,O
37,Opsonization,NOUN,O
37,and,CCONJ,O
37,generation,NOUN,O
37,of,ADP,O
37,chemotactic,ADJ,O
37,activity,NOUN,O
37,functioned,VERB,O
37,normally,ADV,O
37,.,PUNCT,O
38,Complete,ADJ,O
38,absence,NOUN,O
38,of,ADP,O
38,C7,PROPN,O
38,was,AUX,O
38,also,ADV,O
38,found,VERB,O
38,in,ADP,O
38,one,NUM,O
38,sibling,NOUN,O
38,who,PRON,O
38,had,VERB,O
38,the,DET,O
38,clinical,ADJ,O
38,syndrome,NOUN,O
38,of,ADP,O
38,meningococcal,ADJ,O
38,meningitis,PROPN,O
38,and,CCONJ,O
38,arthritis,NOUN,U-DiseaseClass
38, ,SPACE,O
38,as,ADP,O
38,a,DET,O
38,child,NOUN,O
38,and,CCONJ,O
38,in,ADP,O
38,this,DET,O
38,siblings,NOUN,O
38,clinically,ADV,O
38,well,INTJ,O
38,eight,NUM,O
38,-,PUNCT,O
38,year,NOUN,O
38,-,PUNCT,O
38,old,ADJ,O
38,son,NOUN,O
38,.,PUNCT,O
39,HLA,NOUN,O
39,histocompatibility,NOUN,O
39,typing,NOUN,O
39,of,ADP,O
39,the,DET,O
39,family,NOUN,O
39,members,NOUN,O
39,did,AUX,O
39,not,PART,O
39,demonstrate,VERB,O
39,evidence,NOUN,O
39,for,ADP,O
39,genetic,ADJ,O
39,linkage,NOUN,O
39,of,ADP,O
39,C7,PROPN,O
39,deficiency,NOUN,O
39,with,ADP,O
39,the,DET,O
39,major,ADJ,O
39,histocompatibility,NOUN,O
39,loci,NOUN,O
39,.,PUNCT,O
40,This,DET,O
40,report,NOUN,O
40,represents,VERB,O
40,the,DET,O
40,first,ADJ,O
40,cases,NOUN,O
40,of,ADP,O
40,C7,PROPN,O
40,deficiency,NOUN,O
40,associated,VERB,O
40,with,ADP,O
40,infectious,ADJ,O
40,complications,NOUN,O
40,and,CCONJ,O
40,suggests,VERB,O
40,that,SCONJ,O
40,bactericidal,ADJ,O
40,activity,NOUN,O
40,may,AUX,O
40,be,AUX,O
40,important,ADJ,O
40,in,ADP,O
40,host,NOUN,O
40,defense,NOUN,O
40,against,ADP,O
40,bacteremic,PROPN,O
40,neisseria,PROPN,O
40,infections,NOUN,O
40,.,PUNCT,O
41,GCH1,PROPN,O
41,mutation,NOUN,O
41,in,ADP,O
41,a,DET,O
41,patient,NOUN,O
41,with,ADP,O
41,adult,NOUN,O
41,-,PUNCT,O
41,onset,NOUN,O
41,oromandibular,ADJ,O
41,dystonia,NOUN,O
41,.,PUNCT,O
42,The,DET,O
42,authors,NOUN,O
42,report,VERB,O
42,a,DET,O
42,mutation,NOUN,O
42,in,ADP,O
42,exon,ADJ,O
42,5,NUM,O
42,of,ADP,O
42,GCH1,PROPN,O
42,in,ADP,O
42,a,DET,O
42,patient,NOUN,O
42,with,ADP,O
42,adult,NOUN,O
42,-,PUNCT,O
42,onset,NOUN,O
42,oromandibular,ADJ,O
42,dystonia,NOUN,O
42,and,CCONJ,O
42,no,DET,O
42,obvious,ADJ,O
42,family,NOUN,O
42,history,NOUN,O
42,of,ADP,O
42,dystonia,NOUN,U-DiseaseClass
42,.,PUNCT,O
43,The,DET,O
43,patient,NOUN,O
43,responded,VERB,O
43,positively,ADV,O
43,to,ADP,O
43,treatment,NOUN,O
43,with,ADP,O
43,L,NOUN,O
43,-,PUNCT,O
43,dopa,NOUN,O
43,.,PUNCT,O
44,These,DET,O
44,findings,NOUN,O
44,demonstrate,VERB,O
44,that,SCONJ,O
44,GCH1,PROPN,O
44,mutations,NOUN,O
44,must,AUX,O
44,be,AUX,O
44,considered,VERB,O
44,even,ADV,O
44,in,ADP,O
44,patients,NOUN,O
44,with,ADP,O
44,dystonic,ADJ,O
44,symptoms,NOUN,O
44,not,PART,O
44,typical,ADJ,O
44,of,ADP,O
44,dopa,NOUN,O
44,-,PUNCT,O
44,responsive,ADJ,O
44,dystonia,NOUN,O
44,.,PUNCT,O
45,The,DET,O
45,hereditary,ADJ,O
45,hemochromatosis,NOUN,O
45,protein,NOUN,O
45,",",PUNCT,O
45,HFE,PROPN,O
45,",",PUNCT,O
45,specifically,ADV,O
45,regulates,VERB,O
45,transferrin,NOUN,O
45,-,PUNCT,O
45,mediated,VERB,O
45,iron,NOUN,O
45,uptake,NOUN,O
45,in,ADP,O
45,HeLa,PROPN,O
45,cells,NOUN,O
45,.,PUNCT,O
46,HFE,PROPN,O
46,is,AUX,O
46,the,DET,O
46,protein,NOUN,O
46,product,NOUN,O
46,of,ADP,O
46,the,DET,O
46,gene,NOUN,O
46,mutated,VERB,O
46,in,ADP,O
46,the,DET,O
46,autosomal,ADJ,B-DiseaseClass
46,recessive,ADJ,I-DiseaseClass
46,disease,NOUN,L-DiseaseClass
46,hereditary,ADJ,O
46,hemochromatosis,NOUN,O
46,(,PUNCT,O
46,Feder,PROPN,O
46,",",PUNCT,O
46,J.,PROPN,O
46,N.,PROPN,O
46,",",PUNCT,O
46,Gnirke,PROPN,O
46,",",PUNCT,O
46,A.,PROPN,O
46,",",PUNCT,O
46,Thomas,PROPN,O
46,",",PUNCT,O
46,W.,PROPN,O
46,",",PUNCT,O
46,Tsuchihashi,PROPN,O
46,",",PUNCT,O
46,Z.,PROPN,O
46,",",PUNCT,O
46,Ruddy,PROPN,O
46,",",PUNCT,O
46,D.,PROPN,O
46,A.,PROPN,O
46,",",PUNCT,O
46,Basava,PROPN,O
46,",",PUNCT,O
46,A.,NOUN,O
46,",",PUNCT,O
46,Dormishian,PROPN,O
46,",",PUNCT,O
46,F.,PROPN,O
46,",",PUNCT,O
46,Domingo,PROPN,O
46,",",PUNCT,O
46,R.,PROPN,O
46,J.,PROPN,O
46,",",PUNCT,O
46,Ellis,PROPN,O
46,",",PUNCT,O
46,M.,PROPN,O
